Modelo			Descripción 	Categoría 	Función 	Voltaje	Precio Venta USD
S12P-ECV13		Condensadora	Minisplit 12k	Inverter	Solo Frio	110V	$222,00
		Evaporador					
S12P-EHV13		Condensadora	Minisplit 12k	Inverter	Heat Pump	110V	$228,75
		Evaporador					
S12P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$225,00
		Evaporador					
S12P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$229,00
		Evaporador					
S18P-ECV22		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$399,00
		Evaporador					
S18P-EHV22		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$422,00
		Evaporador					
S24P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$493,00
		Evaporador					
S24P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$522,00
		Evaporador					
S36P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$858,00
		Evaporador					
S36P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$930,00
		Evaporador						

Modelo	                              Descripcion	                          PRECIO

(CONDENSADORA MINISPLIT INVERTER MARCA CARRIER HEAT PUMP REFRIGERANTE R32 CAPACIDAD 1 TR VOLTAJE 220V/1F/60HZ 	
38INQ243A32-C	Condensadora inverter easy match 2 ton R32voltaje 220/1/60	$731,50
42QSS024A32-E	Fan coil inverter 2 ton R32 voltaje 220/1/60	$394,90
38INQ363A32-C	Condensadora inverter easy match 3 ton R32 voltaje 220/1/60	$959,20
40EIQ363A32-E	Fan coil inverter easy match 3 ton R32 voltaje2 220/1/60	$515,90
38INQ603A32-C	Condensadora inverter easy match 5 ton R32 voltaje 220/1/60	$1.422,30
40EIQ603A32-E	Fan coil inverter easy match 5 ton R32 voltaje 220/1/60	$764,50
		
38INQ183A32-C	Condensadora inverter easy match 1.5 ton R32 voltaje 220/1/60	$655,60
42QTD018A32	Cassette inverter easy match 1.5 ton R32 voltaje 220/1/60	$301,40
40CAS-S5	Panel Cassette	$51,70
38INQ243A32-C	Condensadora inverter easy match 2 ton R32voltaje 220/1/60	$731,50
42QTD024A32	Cassette inverter easy match 2 ton R32 voltaje 220/1/60	$330,00
40CAS-L6	Panel Cassette	$64,90
38INQ363A32-C	Condensadora inverter easy match 3 ton R32 voltaje 220/1/60	$959,20
40KIQ363A32-E	Cassette inverter easy match 3 ton R32 voltaje 220/1/60	$567,60
40CAS-L6	Panel Cassette	$64,90
38INQ603A32-C	 Condensadora inverter easy match 5 ton R32 voltaje 220/1/60	$1.422,30
40KIQ603A32-E	Cassette inverter easy match 5 ton R32 voltaje 220/1/60	$816,20
40CAS-L6	Panel Cassette	$64,90
		
38INQ363A32-C	Condensadora inverter easy match 3 ton R32 voltaje 220/1/60	$959,20
40VIQ363A32-E	Piso techo inverter esay match 3 ton R32 voltaje 220/1/60	$515,90
38INQ603A32-C	Condensadora inverter easy match 5 ton R32 voltaje 220/1/60	$1.422,30
40VIQ603A32-E	Piso techo inverter esay match 5 ton R32 voltaje 220/1/60	$764,50
		
53VSQ180363GA-FC	Sist F&C inverter 36k HP marca CIAC 220/1/60 R410a	$1.423,40
53VSQ180603GA-FC	Sist F&C inverter 60k HP marca CIAC 220/1/60 R410a	$2.006,40
		
53VSQ180363GA-PT	Sist Piso Techo inverter 36k HP marca CIAC 220/1/60 R410a	$1.423,40
53VSQ180603GA-PT	Sist Piso Techo inverter 60k HP marca CIAC 220/1/60 R410a	$2.006,40
		
53VSQ180363GA-KC	Sist Cassette inverter 36k HP marca CIAC 220/1/60 R410a	$1.553,20
53VSQ180603GA-KC	Sist Cassette inverter 60k HP marca CIAC 220/1/60 R410a	$2.135,10
		
53VSQ180363GA-AH	Sist Dividido Manejadora inverter 36k HP marca CIAC 220/1/60 R410a	$1.941,50
53VSQ180603GA-AH	 Sist Dividido Manejadora inverter 60k HP marca CIAC 220/1/60 R410a	$2.458,50
		
38VSQ180243MA-C	Condensadora inverter 2 ton R410a marca CIAC 220/1/60           	$723,80
42FC40243MA-E	Fan Coil inverter 2 ton R410A marca CIAC 220/1/60 (no incluye termostato 24v)	$311,30
53VSQ180363MA-FC	Condensadora inverter 3 ton R410a marca CIAC 220/1/60	       $893,20
42FC40363MA-E	Fan Coil inverter 3 ton R410A marca CIAC 220/1/60 (no incluye termostato 24v)	$382,80
53VSQ180603MA-FC	Condensadora inverter 5 ton R410a marca CIAC 220/1/60	       $1.230,90
42FC40603MA-E	Fan Coil inverter 5 ton R410A marca CIAC 220/1/60 (no incluye termostato 24v)	$526,90
		
53VSQ180363MA-FC	Condensadora inverter 3 ton R410a marca CIAC 220/1/60	      $893,20
42KC40363MA-E	Cassette inverter 3 ton R410A marca CIAC 220/1/60 (no incluye termostato 24v)	$330,00
T-MBQ4-01E	Panel Cassette	$52,80
53VSQ180603MA-FC	Condensadora inverter 5 ton R410a marca CIAC 220/1/60	          $1.230,90
42KC40603MA-E	Cassette inverter 5 ton R410A marca CIAC 220/1/60 (no incluye termostato 24v)	$474,10
T-MBQ4-01E	Panel Cassette	$52,80

50NPB024---3	Paquete res SF 2 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	1.738
50NPB036---3	Paquete res SF 3 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	1.862
50NPB048---3	Paquete res SF 4 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	2.363
50NPB060---3	Paquete res SF 5 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	2.487
		
50NHB024---3	 Paquete res HP 2 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	2.112
50NHB036---3	 Paquete res HP 3 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	2.237
50NHB048---3	Paquete res HP 4 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	2.738
50NHB060---3	Paquete res HP 5 ton, 14 SEER, R-454b, 220/1/60, descarga horizontal	2.862

48NL-B360603	Paquete res GAS HEAT 3 ton, 14 SEER R-454b, 220/1/60, convertible	3.807
48NL-B480903	Paquete res GAS HEAT 4 ton, 14 SEER R-454b, 220/1/60, convertible	4.133
48NL-B601153	Paquete res GAS HEAT 5 ton, 14 SEER R-454b, 220/1/60, convertible	4.463
		

50NL-B36---5	Paquete res SF 3 ton, 14 SEER, R-454b, 220/3/60, convertible	2.999
50NL-B48---5 	Paquete res SF 4 ton, 14 SEER, R-454b, 220/3/60, convertible	3.653
50NL-B60---5	Paquete res SF 5 ton, 14 SEER, R-454b, 220/3/60, convertible	3.784
50NL-B60---6	Paquete res SF 5 ton, 14 SEER, R-454b, 460/3/60, convertible	3.916
		
50NT-B36---5	Paquete res HP 3 ton, 14 SEER, R-454b, 220/3/60, convertible	3.391
50NT-B48---5	Paquete res HP 4 ton, 14 SEER, R-454b, 460/3/60, convertible	3.916
50NT-B60---5 	Paquete res HP 5 ton, 14 SEER, R-454b, 220/3/60, convertible	4.047
50NT-B60---6	Paquete res HP 5 ton, 14 SEER, R-454b, 460/3/60, convertible	4.047
		
48NL-B3660605	Paquete res GAS HEAT 3 ton, 14 SEER R-454b, 220/3/60, convertible	3.926
48NL-B480905 	Paquete res GAS HEAT 4 ton, 14 SEER R-454b, 220/3/60, convertible	4.221
48NL-B601155 	Paquete res GAS HEAT 5 ton, 14 SEER R-454b, 220/3/60, convertible	4.692
		
50VSQ180363GA	Paquete Inverter res HP 3 ton, R-410a, 220/1/60	1.794
50VSQ180603GA	Paquete Inverter res HP 5 ton, R-410a, 220/1/60	2.397

FJ5ANXA18L00	Manejadora residencial 18K Carrier R-454b velocidad variable	1021.9
FJ5ANXB24L00	Manejadora residencial 24K Carrier R-454b velocidad variable	1,152
FJ5ANXB36L00	Manejadora residencial 36K Carrier R-454b velocidad variable	1,282
FJ5ANXC48L00	Manejadora residencial 48K Carrier R-454b velocidad variable	1,799
FJ5ANXD60L00	Manejadora residencial 60K Carrier R-454b velocidad variable	1,928
		
24SCB418N003	Condensadora solo frio 1.5 ton Carrier R410a 220/1/60	1.539
24SCB424N003	Condensadora solo frio 2 ton Carrier R410a 220/1/60	2.063
24SCB436N003	Condensadora solo frio 3 ton Carrier R410a 220/1/60	2.142
24SCB448N003	Condensadora solo frio 4 ton Carrier R410a 220/1/60 	2.298
